Day,Date,Location,Time,Session Title,Presenter(s),Type,Tags
Wednesday,"November 11, 2026",Main Stage,4:20–5:20,Doors / Reception / Music,,Party,Networking
Wednesday,"November 11, 2026",Main Stage,5:20–5:30,NOAI Welcome,Joseph Makkos,Informational,
Wednesday,"November 11, 2026",Main Stage,5:30–5:35,Opening Remarks,"Greg Lambousy, New Orleans Jazz Museum",Informational,
Wednesday,"November 11, 2026",Main Stage,5:35–6:35,Future of Education Fireside Chat,"Mary Hubbard (President, Open Web Alliance) + Ronnie Morris (President, BESE) + Dr. Jim Henderson (President, Louisiana Tech)",Fireside Chat,"Education, Policy & Funding"
Wednesday,"November 11, 2026",Streets,6:35–7:05,LowFi Secondline to Francis Ford Coppola's House,,Party,Networking
Wednesday,"November 11, 2026",Coppola's,7:05 →,After Party — Special Treats and Tarot Speed Readings,"Greg Bresnitz, Entrepreneurs' Tarot",Party,Networking
Thursday,"November 12, 2026",Main Stage,9:30–10:00,Who You Callin' Soft?! People Skills and Communication Skills in the Agentic Age,Stefan Poole,,Career & Leadership
Thursday,"November 12, 2026",Main Stage,10:05–10:35,The Message Runner,Dan Woods,,AI & Technology
Thursday,"November 12, 2026",Main Stage,10:40–11:10,"AI, Gaussian Splatting, and the Future of Visual Effects",Trai Thomas,,AI & Technology
Thursday,"November 12, 2026",Main Stage,11:15–11:45,Beyond Technical Expertise: The Skills That Drive Success,Nathan Stockman,,Career & Leadership
Thursday,"November 12, 2026",Main Stage,12:00–1:00,Lunch,,Food,Networking
Thursday,"November 12, 2026",Main Stage,1:00–2:00,Civic and Community Engaged AI in New Orleans,Tulane Feature,Panel,Community & Civic
Thursday,"November 12, 2026",Main Stage,2:05–2:35,Beyond Hallucination: Verifying AI Results for Accessible Digital Experiences,Mingren (Michael) Fu,,Accessibility
Thursday,"November 12, 2026",Main Stage,2:40–3:10,Designing AI Agents Like Computer Systems,Yinkun Qu,,Engineering
Thursday,"November 12, 2026",Main Stage,3:15–3:45,Temporal Mental Models: Engineering Software That Reasons Over Time,George Mauer,,Engineering
Thursday,"November 12, 2026",Main Stage,3:45–4:15,"Nobody Trains You for This: Junior Talent, AI, and the Job Market",Johnnie James II,,Career & Leadership
Thursday,"November 12, 2026",Main Stage,4:15–5:00,Funding AI in NOLA Schools Fireside Chat,Davis Zumbrecker,Fireside Chat,"Education, Policy & Funding"
Thursday,"November 12, 2026",Main Stage,5:00–6:00,AI Leaders Update and Panel,,Panel,Business & Strategy
Thursday,"November 12, 2026",Education Center,9:30–10:30,Tai Chi Basics,Blake Bertuccelli-Booth,Workshop,Wellness
Thursday,"November 12, 2026",Education Center,10:30–12:00,Analog Intelligence Since 1440: A Hands-On Letterpress Workshop,Joseph Makkos,Workshop,Creative & Craft
Thursday,"November 12, 2026",Education Center,1:00–2:30,Why Machines Cannot Crochet,Julia Feliciano,Workshop,Creative & Craft
Thursday,"November 12, 2026",Education Center,2:30–4:00,Age of AI Meets Pre-Internet Times: How to Build an Offline Voice AI Chat Bot,Vanessa Pyne,Workshop,AI & Technology
Thursday,"November 12, 2026",Education Center,4:00–5:30,E-Bike Conversion Speedrun,Matt Candler,Workshop,Sustainability
Thursday,"November 12, 2026",Education Center,5:30–6:00,Why Playing Chess and Eating Ice Cream in the Street Matters: A Case Study,Baylee Badawy + Jude Acers,Workshop,Community & Civic
Friday,"November 13, 2026",Main Stage,9:30–10:00,"AI and Autonomy in Land, Sea, and Sky in Louisiana",LED,,AI & Technology
Friday,"November 13, 2026",Main Stage,10:00–10:45,Everyday AI: Getting More Out of What You Already Use,Knud Berthelsen,,AI & Technology
Friday,"November 13, 2026",Main Stage,10:45–12:00,Marketing Strategies & Quick Tools for Helping Increase Business,Tom Martin + Bill Dalton,,Business & Strategy
Friday,"November 13, 2026",Main Stage,12:00–1:00,Lunch,,Food,Networking
Friday,"November 13, 2026",Main Stage,1:00–2:00,AI Implementation Group,Apps & Programs,,Business & Strategy
Friday,"November 13, 2026",Main Stage,2:00–2:45,AI-Forward Business: Building Your AI Team Instead of Hiring,Damon Kirin + Rob Gaudet,,Business & Strategy
Friday,"November 13, 2026",Main Stage,2:45–3:30,Louisiana Startups,Mickal Adler / Boot64 Ventures,,Business & Strategy
Friday,"November 13, 2026",Main Stage,3:30–4:15,50 First Dates with AI,Ryan Hageman,,AI & Technology
Friday,"November 13, 2026",Main Stage,4:15–5:00,AI Made Us Faster. Evidence Makes Us Confident.,Dustin Gaspard,,Business & Strategy
Friday,"November 13, 2026",Main Stage,5:00–6:00,NOAI Social Hour / Conference Close,,Party,Networking
Friday,"November 13, 2026",TBA,6:00 →,Secret Friday 13th Afterparty,,Party,Networking
Friday,"November 13, 2026",Education Center,9:30–10:45,Small Language Models,Sabelo Jupiter,Workshop,AI & Technology
Friday,"November 13, 2026",Education Center,10:45–12:00,Free and Private Agentic AI: Local Agents Crash Course,Legare Kerrison,Workshop,AI & Technology
Friday,"November 13, 2026",Education Center,1:00–2:15,The Most Valuable AI Skill Is Saying No: Screening AI Use Cases for Real Return,Dustin T. Hughes,Workshop,Business & Strategy
Friday,"November 13, 2026",Education Center,2:15–3:30,Explain It: Redesigning Assessment for the AI Classroom,Dr. Blaine Fisher,Workshop,Education
Friday,"November 13, 2026",Education Center,3:30–5:00,The Intentional Page: A Device-Free Writing Lab with S.I.L.K.,Marcus Rosser + Kaylon Seaberry,Workshop,Wellness
